식품명,식품대분류명,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),칼슘(mg),칼륨(mg),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),과당(g),유당(g),자당(g),포도당(g),식품중량,식종
꽈리고추찜,찜류,104,75.2,3.59,2.09,1.46,17.69,0.44,27.0,239.0,316,0.0,0.37,0.01,0.07,0.0,0.32,0.04,100g,한식
닭찜,찜류,107,80.1,12.37,6.09,0.87,0.6,0.0,12.0,166.0,224,66.22,0.98,0.02,0.0,0.0,0.0,0.0,300g,한식
돼지갈비찜,찜류,194,64.9,13.29,12.32,2.04,7.44,0.13,30.0,332.0,478,50.07,3.68,0.13,0.0,0.0,0.0,0.13,300g,한식
순대,찜류,187,56.2,2.75,3.64,1.72,35.73,1.39,17.0,33.0,604,26.24,1.12,0.02,0.47,0.0,0.49,0.43,220g,한식
아귀찜,찜류,84,81.3,6.72,3.13,1.62,7.26,2.73,26.0,267.0,392,51.39,0.48,0.02,0.91,0.0,1.55,0.27,200g,한식
애호박찜,찜류,181,61.9,9.5,6.48,0.94,21.18,1.81,27.0,144.0,161,12.54,1.44,0.07,0.74,0.0,0.35,0.72,100g,한식
족발,찜류,233,56.2,26.04,13.91,2.96,0.93,0.0,735.0,206.0,345,91.72,4.66,0.06,0.0,0.0,0.0,0.0,250g,한식
코다리찜,찜류,94,75.6,14.49,1.35,2.51,6.08,2.5,73.0,304.0,620,60.96,0.31,0.01,2.16,0.0,0.35,0.0,200g,한식
풋고추찜,찜류,51,85.9,2.31,0.99,2.49,8.27,1.44,25.0,297.0,708,0.0,0.14,0.0,0.76,0.0,0.0,0.68,100g,한식
가자미구이,구이류,123,73.6,18.7,5.02,1.99,0.66,0.0,180.0,309.0,315,84.33,0.82,0.1,0.0,0.0,0.0,0.0,200g,한식
닭구이,구이류,257,49.9,26.21,13.39,2.71,7.8,0.0,28.0,399.0,751,119.18,3.75,0.05,0.0,0.0,0.0,0.0,340g,한식
닭발구이,구이류,196,59.9,18.15,9.41,2.89,9.7,0.31,39.0,146.0,827,81.85,2.58,0.06,0.06,0.0,0.0,0.09,220g,한식
떡갈비,구이류,202,62.4,21.38,11.82,1.93,2.46,0.4,22.0,299.0,404,68.04,4.29,0.42,0.04,0.0,0.0,0.0,200g,한식
런천미트구이,구이류,303,51.4,17.56,24.38,3.41,3.27,1.71,32.0,409.0,954,35.69,9.01,0.16,0.52,0.0,0.86,0.33,160g,한식
뱅어포구이,구이류,374,18.4,34.37,15.17,6.96,25.07,15.91,1038.0,366.0,1479,469.76,3.0,0.11,0.76,0.0,10.57,1.97,70g,한식
버섯구이,구이류,52,86.6,5.16,1.38,2.14,4.78,0.11,2.0,399.0,492,0.0,0.41,0.01,0.11,0.0,0.0,0.0,80g,한식
버섯구이표고버섯,구이류,100,74.3,4.34,1.06,2.13,18.14,1.4,3.0,439.0,435,0.0,0.65,0.04,0.0,0.0,0.0,0.0,80g,한식
삼겹살구이,구이류,467,33.0,22.56,41.69,2.4,0.35,0.0,9.0,370.0,576,39.72,12.42,0.34,0.0,0.0,0.0,0.0,200g,한식
삼치구이,구이류,178,66.2,21.42,9.57,1.39,1.45,0.22,18.0,220.0,217,79.38,2.02,0.07,0.1,0.0,0.12,0.0,200g,한식
